시장명,역명,호선,이동거리(km)
동원전통종합시장,면목,7,0.428646128
면목시장,사가정,7,0.243201814
면목골목시장,용마산,7,0.47214585
사가정시장,사가정,7,0.082096613
태능엔터피아,중화,7,0.400611995
장미제일시장,중화,7,0.3798557
아트프라자,동대문,1,0.32384315
동문시장㈜,동대문,1,0.131929572
숭례문수입상가,회현,4,0.203842922
대림상가,을지로4가,2,0.217328209
청계상가,을지로4가,5,0.245206658
광희패션몰,동대문,4,0.34154952
벨포스트,동대문역사문화공원,2,0.381170787
서울중앙시장,신당,6,0.312440248
동화상가,동대문,4,0.332655054
통일상가,동대문,4,0.334869178
황학시장,신당,2,0.194219538
자유상가,회현,4,0.303090329
신정제일시장,신정네거리,2,0.10920049
대림중앙시장,대림,7,0.4715153
동남상가,영등포시장,5,0.234880059
삼구시장,영등포시장,5,0.285866573
영신상가,영등포시장,5,0.333618471
이촌종합시장,이촌,4,0.173033601
이태원시장,녹사평,6,0.310652529
제일시장,불광,6,0.02863622
대조시장,불광,6,0.183662525
연서시장,연신내,3,0.112308482
증산종합시장,증산,6,0.484525313
신설종합시장,동묘앞,1,0.345616106
광장시장,종로5가,1,0.209321258
종로신진시장,종로5가,1,0.283778127
양재시장,양재,3,0.359061157
용답상가시장,답십리,5,0.287046737
돈암시장,성신여대입구,4,0.123200851
돌곶이시장(구 석관황금시장),돌곶이,6,0.474570053
마천중앙시장,마천,5,0.338617543
새마을시장,잠실새내,2,0.325663546
풍납시장,천호,8,0.491260119
경동시장,제기동,1,0.388677081
동서시장,청량리,1,0.297502144
청량종합도매시장(깡통시장),청량리,1,0.395981517
청량리종합시장,청량리,1,0.31338515
청량리청과물시장,청량리,1,0.193574985
청량리농수산물시장,청량리,1,0.343644331
청량리전통시장,청량리,1,0.113517916
남성사계시장,총신대입구,4,0.214243843
남성역골목시장,남성,7,0.202388658
상도전통시장,숭실대입구,7,0.337973924
성대시장,신대방삼거리,7,0.321043855
성대전통시장,신대방삼거리,7,0.233919538
공덕시장,공덕,5,0.171144446
망원시장,망원,6,0.376737468
마포농수산물시장,마포구청,6,0.467531407
아현시장,아현,2,0.14005824
남구로시장,남구로,7,0.467321707
구로시장,남구로,7,0.422614353
공릉동도깨비시장,공릉,7,0.449842149
상계중앙시장,상계,4,0.342046455
쌍문시장,쌍문,4,0.155976275
답십리시장,회현,4,0.204828852
답십리건축자재시장,답십리,5,0.105128394
청량리수산시장,청량리,1,0.382639876
서울약령시장,제기동,1,0.365325471
경동광성상가,제기동,1,0.471431066
화곡본동시장,화곡,5,0.357603716
인헌시장,낙성대,2,0.248867123
봉천중앙시장,서울대입구,2,0.356595396
관악종합시장,신림,2,0.326188986
관악신사시장,신대방,2,0.354115557
신원시장,신림,2,0.314391504
원당종합시장,낙성대,2,0.341038737
봉천제일종합시장,봉천,2,0.254729858
조양시장(건물형),건대입구,2,0.214320185
능동로골목시장,뚝섬유원지,7,0.400887982
광성시장,중곡,7,0.383474758
중곡제일시장(이오상사),중곡,7,0.347815655
한아름시장,건대입구,7,0.369722013
강남시장,신사,3,0.275320311
길동복조리시장,길동,5,0.332306615
명일전통시장,명일,5,0.221012988
둔촌역전통시장,둔촌동,5,0.116719325
성내전통시장,강동,5,0.443860316
암사종합시장,암사,8,0.108344412
수유전통시장(수유골목시장),총신대입구,4,0.213126835
수유중앙시장,신대방삼거리,7,0.307763161
장미원골목시장,공덕,5,0.200106295
대원종합시장,우장산,5,0.476256492
까치산시장,까치산,5,0.107102612
