,연번,호선,역명,역 주변 시설,공원,행정시설,의료시설,시장,복지시설,종교시설
0,1,1,동묘앞,동대문운동장,0,0,0,0,0,0
1,2,1,동묘앞,롯데캐슬,0,0,0,0,0,0
2,3,1,동묘앞,숭인1동주민센터,0,1,0,0,0,0
3,4,1,동묘앞,숭인공원,1,0,0,0,0,0
4,5,1,동묘앞,창신치안센타,0,0,0,0,0,0
5,6,1,동묘앞,홈플러스마트,0,0,0,0,0,0
7,8,1,동묘앞,숭인1동사무소,0,1,0,0,0,0
9,10,1,동묘앞,창신지구대,0,0,0,0,0,0
11,12,1,동묘앞,서울전문학교,0,0,0,0,0,0
12,13,1,동묘앞,숭인2동사무소,0,1,0,0,0,0
13,14,1,동묘앞,숭인2동자치센터,0,1,0,0,0,0
14,15,1,동묘앞,신설동종합시장,0,0,0,1,0,0
15,16,1,동묘앞,종로구민회관,0,0,0,0,1,0
16,17,1,동묘앞,종로구민회관(분소),0,0,0,0,1,0
17,18,1,동묘앞,종로구시설관리공단,0,0,0,0,0,0
18,19,1,동묘앞,창신초등학교,0,0,0,0,0,0
20,21,1,동묘앞,상설벼룩시장,0,0,0,1,0,0
21,22,1,동묘앞,숭인초등학교,0,0,0,0,0,0
23,24,1,동묘앞,종로산업정보학교,0,0,0,0,0,0
24,25,1,동묘앞,청계천영도교,1,0,0,0,0,0
26,27,1,동묘앞,성동공고,0,0,0,0,0,0
27,28,1,동묘앞,창신1동주민센터,0,1,0,0,0,0
28,29,1,동묘앞,청계천다산교,1,0,0,0,0,0
29,30,1,동묘앞,동대문시장,0,0,0,1,0,0
30,31,1,동묘앞,삼우빌딩(크레타망고아룰렛),0,0,0,0,0,0
31,32,1,동묘앞,숭신초등학교,0,0,0,0,0,0
32,33,1,동묘앞,종로산업학교,0,0,0,0,0,0
33,34,1,동묘앞,창신1동 치안센터,0,0,0,0,0,0
34,35,1,동묘앞,창신1동사무소,0,1,0,0,0,0
35,36,1,동묘앞,1호선 동대문역,0,0,0,0,0,0
36,37,1,동묘앞,금호팔레스빌딩,0,0,0,0,0,0
37,38,1,동묘앞,동대문아파트,0,0,0,0,0,0
38,39,1,동묘앞,신한은행,0,0,0,0,0,0
39,40,1,동묘앞,기업은행,0,0,0,0,0,0
40,41,1,동묘앞,종로구 보건소동부진료소,0,0,1,0,0,0
41,42,1,동묘앞,흥인지문,0,0,0,0,0,0
42,43,1,동묘앞,동진한의원,0,0,1,0,0,0
43,44,1,동묘앞,두산아파트,0,0,0,0,0,0
45,46,1,동묘앞,창신3동사무소,0,1,0,0,0,0
46,47,1,동묘앞,창신재래시장,0,0,0,1,0,0
47,48,1,청량리,경동시장,0,0,0,1,0,0
48,49,1,청량리,동서시장,0,0,0,1,0,0
49,50,1,청량리,동대문경찰서,0,0,0,0,0,0
50,51,1,청량리,청량리우체국,0,0,0,0,0,0
51,52,1,청량리,현대코아빌딩,0,0,0,0,0,0
52,53,1,청량리,동대문세무서,0,0,0,0,0,0
53,54,1,청량리,미주아파트,0,0,0,0,0,0
54,55,1,청량리,서울시립대학교,0,0,0,0,0,0
55,56,1,청량리,청량리역(국철),0,0,0,0,0,0
56,57,1,청량리,역전치안센터,0,0,0,0,0,0
57,58,1,청량리,동부청과시장,0,0,0,1,0,0
58,59,1,청량리,성바오로병원,0,0,1,0,0,0
59,60,1,제기동,고려대학교,0,0,0,0,0,0
60,61,1,제기동,도서출판성각,0,0,0,0,0,0
61,62,1,제기동,동대문종합사회복지관,0,0,0,0,1,0
62,63,1,제기동,두산베어스타워,0,0,0,0,0,0
63,64,1,제기동,브라운스톤아파트,0,0,0,0,0,0
64,65,1,제기동,성일중학교,0,0,0,0,0,0
65,66,1,제기동,용두 파출소,0,0,0,0,0,0
66,67,1,제기동,용두시장,0,0,0,1,0,0
67,68,1,제기동,제기동2동사무소,0,1,0,0,0,0
68,69,1,제기동,종암초등학교,0,0,0,0,0,0
69,70,1,제기동,경동대성빌딩,0,0,0,0,0,0
70,71,1,제기동,경동시장,0,0,0,1,0,0
71,72,1,제기동,동일빌딩,0,0,0,0,0,0
72,73,1,제기동,미주아파트,0,0,0,0,0,0
73,74,1,제기동,불로장생타워,0,0,0,0,0,0
74,75,1,제기동,약령시장,0,0,0,1,0,0
75,76,1,제기동,한솔동의보감,0,0,0,0,0,0
76,77,1,제기동,현대아파트,0,0,0,0,0,0
77,78,1,제기동,경동웨딩프라자,0,0,0,0,0,0
78,79,1,제기동,국민건강보험공단,0,1,0,0,0,0
79,80,1,제기동,동대문구청,0,0,0,0,0,0
80,81,1,제기동,동대문보건소,0,0,1,0,0,0
81,82,1,제기동,동의보감타워,0,0,0,0,0,0
82,83,1,제기동,성동구청,0,0,0,0,0,0
83,84,1,제기동,용두1주민센터,0,1,0,0,0,0
84,85,1,제기동,용두동포스빌,0,0,0,0,0,0
85,86,1,제기동,우편취급소,0,0,0,0,0,0
86,87,1,제기동,한방천하,0,0,0,0,0,0
87,88,1,제기동,롯데캐슬피렌체,0,0,0,0,0,0
88,89,1,제기동,정릉천,1,0,0,0,0,0
89,90,1,제기동,대우아이오오피스텔,0,0,0,0,0,0
90,91,1,제기동,동부시립병원,0,0,1,0,0,0
91,92,1,제기동,용두 초등학교,0,0,0,0,0,0
92,93,1,제기동,용두2동 사무소,0,0,0,0,0,0
93,94,1,제기동,한국항공전문학교,0,0,0,0,0,0
94,95,1,신설동,국민은행보문동지점,0,0,0,0,0,0
95,96,1,신설동,"대광중,고교",0,0,0,0,0,0
96,97,1,신설동,"대광중,고등학교",0,0,0,0,0,0
97,98,1,신설동,대광초등학교,0,0,0,0,0,0
98,99,1,신설동,수도학원,0,0,0,0,0,0
99,100,1,신설동,동대문도서관,0,0,0,0,0,0
100,101,1,신설동,동대문우체국,0,0,0,0,0,0
101,102,1,신설동,서울풍물시장,0,0,0,1,0,0
102,103,1,신설동,신설동종합시장,0,0,0,1,0,0
103,104,1,신설동,신설동주민센터,0,1,0,0,0,0
104,105,1,신설동,우리은행신설동지점,0,0,0,0,0,0
105,106,1,신설동,힐스테이트,0,0,0,0,0,0
106,107,1,신설동,동대문세무서별관,0,0,0,0,0,0
107,108,1,신설동,보문동 방면,0,0,0,0,0,0
108,109,1,신설동,남서울평생교육원,0,0,0,0,0,0
109,110,1,신설동,비타에듀학원,0,0,0,0,0,0
110,111,1,신설동,신설 파출소,0,0,0,0,0,0
111,112,1,신설동,신설치안센터,0,0,0,0,0,0
112,113,1,신설동,용두시장,0,0,0,1,0,0
113,114,1,신설동,제일화재빌딩,0,0,0,0,0,0
114,115,1,신설동,한국미용직업전문학교,0,0,0,0,0,0
115,116,1,신설동,한국의류시험연구원,0,0,0,0,0,0
116,117,1,신설동,동대문등기소,0,0,0,0,0,0
117,118,1,신설동,동서울병원,0,0,1,0,0,0
118,119,1,신설동,용두2동사무소,0,1,0,0,0,0
119,120,1,신설동,용두초등학교,0,0,0,0,0,0
120,121,1,신설동,교보재단,0,0,0,0,0,0
121,122,1,신설동,국민연금동대문중랑지사,0,0,0,0,0,0
122,123,1,신설동,기아자동차동대문지점,0,0,0,0,0,0
123,124,1,신설동,기업은행신설동지점,0,0,0,0,0,0
124,125,1,신설동,동대문 도서관,0,0,0,0,0,0
125,126,1,신설동,동대문 우체국,0,0,0,0,0,0
126,127,1,신설동,고려학원,0,0,0,0,0,0
127,128,1,신설동,농협,0,0,0,0,0,0
130,131,1,신설동,서울교수학습지원센터,0,0,0,0,0,0
132,133,1,신설동,성북수도사업소,0,0,0,0,0,0
133,134,1,신설동,신궁전웨딩홀,0,0,0,0,0,0
136,137,1,신설동,아름다운가게,0,0,0,0,0,0
137,138,1,신설동,외환은행,0,0,0,0,0,0
138,139,1,신설동,우산각공원,1,0,0,0,0,0
139,140,1,신설동,이마트황학점,0,0,0,0,0,0
140,141,1,신설동,청계천,1,0,0,0,0,0
141,142,1,신설동,하나은행,0,0,0,0,0,0
142,143,1,신설동,동대문 베르빌 오피스텔,0,0,0,0,0,0
144,145,1,신설동,동부시립병원,0,0,1,0,0,0
146,147,1,신설동,용두동 주민센터,0,1,0,0,0,0
150,151,1,신설동,숭인중학교,0,0,0,0,0,0
151,152,1,동대문,덕산 파출소,0,0,0,0,0,0
152,153,1,동대문,덕산치안센터,0,0,0,0,0,0
153,154,1,동대문,동대문맨션,0,0,0,0,0,0
154,155,1,동대문,동대문종합상가,0,0,0,0,0,0
155,156,1,동대문,이화대학병원,0,0,1,0,0,0
156,157,1,동대문,창신2동주민센터,0,1,0,0,0,0
157,158,1,동대문,창신초등학교,0,0,0,0,0,0
158,159,1,동대문,한양도성박물관,0,0,0,0,0,0
159,160,1,동대문,흥인지문 공원,1,0,0,0,0,0
160,161,1,동대문,한방약국가,0,0,1,0,0,0
164,165,1,동대문,창신2동 주민센터,0,1,0,0,0,0
166,167,1,동대문,창신동·숭인동,0,0,0,0,0,0
169,170,1,동대문,백남준기념관,0,0,0,0,0,0
170,171,1,동대문,종로구 시설관리공단,0,0,0,0,0,0
171,172,1,동대문,종로구민회관,0,0,0,0,1,0
173,174,1,동대문,창신2동사무소,0,1,0,0,0,0
177,178,1,동대문,"문구,완구도매 상가",0,0,0,0,0,0
178,179,1,동대문,문구·완구 도매시장,0,0,0,1,0,0
179,180,1,동대문,숭신초등학교,0,0,0,0,0,0
180,181,1,동대문,신설동 방면,0,0,0,0,0,0
181,182,1,동대문,창신1동사무소,0,1,0,0,0,0
182,183,1,동대문,창신1동주민센터,0,1,0,0,0,0
183,184,1,동대문,동대문 종합시,0,0,0,0,0,0
184,185,1,동대문,동대문(흥인지문),0,0,0,0,0,0
186,187,1,동대문,동문시장,0,0,0,1,0,0
187,188,1,동대문,청계천 방면,1,0,0,0,0,0
188,189,1,동대문,"평화,흥인시장",0,0,0,1,0,0
190,191,1,동대문,동대문운동장,0,0,0,0,0,0
192,193,1,동대문,동대문종합시장,0,0,0,1,0,0
193,194,1,동대문,서울관광안내소,0,0,0,0,0,0
194,195,1,동대문,신발도매상가,0,0,0,0,0,0
195,196,1,동대문,이스턴호텔,0,0,0,0,0,0
198,199,1,동대문,국민은행,0,0,0,0,0,0
199,200,1,동대문,동대문호텔,0,0,0,0,0,0
201,202,1,동대문,두산타워,0,0,0,0,0,0
202,203,1,동대문,밀리오레,0,0,0,0,0,0
203,204,1,동대문,동대문 종합상가,0,0,0,0,0,0
204,205,1,종로5가,IBK기업은행,0,0,0,0,0,0
205,206,1,종로5가,KB국민은행,0,0,0,0,0,0
206,207,1,종로5가,국민건강보험공단 종로지사,0,1,0,0,0,0
207,208,1,종로5가,두산아트센터(연강홀),0,0,0,0,0,0
208,209,1,종로5가,보령빌딩,0,0,0,0,0,0
209,210,1,종로5가,보령약국,0,0,1,0,0,0
210,211,1,종로5가,서울신용보증재단,0,0,0,0,0,0
211,212,1,종로5가,서울특별시선거관리위원회,0,0,0,0,0,0
212,213,1,종로5가,종로5가우체국,0,0,0,0,0,0
213,214,1,종로5가,종오약국,0,0,1,0,0,0
214,215,1,종로5가,중앙선거관리위원회 선거연수원,0,0,0,0,0,0
215,216,1,종로5가,한국어항협회,0,0,0,0,0,0
216,217,1,종로5가,혜화경찰서,0,0,0,0,0,0
217,218,1,종로5가,효성쥬얼리시티,0,0,0,0,0,0
218,219,1,종로5가,삼양사,0,0,0,0,0,0
219,220,1,종로5가,서울보증보험,0,0,0,0,0,0
220,221,1,종로5가,엘가모아-(구)한빛웨딩프라자,0,0,0,0,0,0
221,222,1,종로5가,여전도회관,0,0,0,0,0,0
222,223,1,종로5가,연지동방향,0,0,0,0,0,0
223,224,1,종로5가,이화예식장,0,0,0,0,0,0
224,225,1,종로5가,한국교회100주년기념관,0,0,0,0,0,1
225,226,1,종로5가,한국기독교연합회환,0,0,0,0,0,0
226,227,1,종로5가,대학로방면,0,0,0,0,0,0
227,228,1,종로5가,수도요리학원,0,0,0,0,0,0
228,229,1,종로5가,중부교육청,0,0,0,0,0,0
229,230,1,종로5가,효제초등학교,0,0,0,0,0,0
230,231,1,종로5가,백제약국,0,0,1,0,0,0
231,232,1,종로5가,"종로5,6가동주민센터",0,1,0,0,0,0
233,234,1,종로5가,동대문시장,0,0,0,1,0,0
234,235,1,종로5가,백화점약국,0,0,1,0,0,0
235,236,1,종로5가,신한은행,0,0,0,0,0,0
236,237,1,종로5가,종로신진시장,0,0,0,1,0,0
237,238,1,종로5가,동대문 시장,0,0,0,1,0,0
238,239,1,종로5가,청계천 5가,1,0,0,0,0,0
239,240,1,종로5가,청계천-마전교,1,0,0,0,0,0
240,241,1,종로5가,평화시장,0,0,0,1,0,0
241,242,1,종로5가,광장시장,0,0,0,1,0,0
242,243,1,종로5가,방산시장,0,0,0,1,0,0
243,244,1,종로5가,우리은행,0,0,0,0,0,0
244,245,1,종로5가,종로5가파출소,0,0,0,0,0,0
245,246,1,종로5가,청계천(마전교),1,0,0,0,0,0
247,248,1,종로5가,농협,0,0,0,0,0,0
249,250,1,종로5가,제일은행,0,0,0,0,0,0
250,251,1,종로3가,낙원상가,0,0,0,1,0,0
251,252,1,종로3가,"종로1,2,3,4가동사무소",0,1,0,0,0,0
252,253,1,종로3가,종로2가 우체국,0,0,0,0,0,0
253,254,1,종로3가,종로2가파출소,0,0,0,0,0,0
254,255,1,종로3가,탑골공원,1,0,0,0,0,0
255,256,1,종로3가,종로3가소방파출소,0,0,0,0,0,0
256,257,1,종로3가,종로3가파출소,0,0,0,0,0,0
257,258,1,종로3가,창덕궁,1,0,0,0,0,0
258,259,1,종로3가,종묘,1,0,0,0,0,0
259,260,1,종로3가,세운상가,0,0,0,1,0,0
260,261,1,종로3가,기계공구상가,0,0,0,0,0,0
261,262,1,종로3가,장사동,0,0,0,0,0,0
262,263,1,종로3가,청계창작스튜디오,0,0,0,0,0,0
263,264,1,종로3가,청계천3가,1,0,0,0,0,0
264,265,1,종로3가,서울청소년수련관,0,0,0,0,0,0
265,266,1,종로3가,관수동,0,0,0,0,0,0
266,267,1,종로3가,기업은행종로지점,0,0,0,0,0,0
267,268,1,종로3가,서울종합고용지원센터,0,0,0,0,0,0
268,269,1,종로3가,서울지방노동청,0,0,0,0,0,0
269,270,1,종로3가,종로2가,0,0,0,0,0,0
271,272,1,종로3가,국민은행,0,0,0,0,0,0
272,273,1,종로3가,서울극장,0,0,0,0,0,0
273,274,1,종로3가,신한은행,0,0,0,0,0,0
274,275,1,종로3가,우체국,0,0,0,0,0,0
275,276,1,종로3가,피카디리,0,0,0,0,0,0
276,277,1,종로3가,돈의동,0,0,0,0,0,0
