호선,역외부코드,역코드,역명,상하선,승강장위치,연단간격,높이차,승강장선형
4,425,425,회현,하선,본선 오이도 방면 1-3,넓음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 1-4,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 2-1,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 2-2,넓음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 2-3,넓음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 2-4,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 3-1,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 3-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 3-3,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 3-4,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 4-1,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 4-2,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 4-3,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 4-4,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 5-1,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 5-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 5-3,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 5-4,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 6-1,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 6-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 6-3,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 6-4,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 7-1,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 7-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 7-3,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 7-4,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 8-1,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 8-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 8-3,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 8-4,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 9-1,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 9-2,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 9-3,보통,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 9-4,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 10-1,보통,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 10-2,좁음,낮음,곡선
4,425,425,회현,하선,본선 오이도 방면 10-3,좁음,보통,곡선
4,425,425,회현,하선,본선 오이도 방면 10-4,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 1-1,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 1-2,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 1-3,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 1-4,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 2-1,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 2-2,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 2-3,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 2-4,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 3-1,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 3-2,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 3-3,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 3-4,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 4-1,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 4-2,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 4-3,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 4-4,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 5-1,보통,보통,곡선
4,426,426,서울,상선,본선 진접 방면 5-2,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 5-3,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 5-4,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 6-1,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 6-2,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 6-3,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 6-4,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 7-1,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 7-2,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 7-3,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 7-4,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 8-1,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 8-2,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 8-3,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 8-4,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 9-1,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 9-2,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 9-3,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 9-4,좁음,보통,곡선
4,426,426,서울,상선,본선 진접 방면 10-1,보통,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 10-2,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 10-3,좁음,낮음,곡선
4,426,426,서울,상선,본선 진접 방면 10-4,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 1-1,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 1-2,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 1-3,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 1-4,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 2-1,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 2-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 2-3,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 2-4,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 3-1,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 3-2,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 3-3,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 3-4,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 4-1,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 4-2,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 4-3,보통,보통,곡선
4,426,426,서울,하선,본선 오이도 방면 4-4,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 5-1,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 5-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 5-3,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 5-4,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 6-1,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 6-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 6-3,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 6-4,좁음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 7-1,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 7-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 7-3,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 7-4,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 8-1,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 8-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 8-3,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 8-4,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 9-1,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 9-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 9-3,넓음,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 9-4,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 10-1,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 10-2,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 10-3,보통,낮음,곡선
4,426,426,서울,하선,본선 오이도 방면 10-4,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 1-1,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 1-2,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 1-3,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 1-4,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 2-1,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 2-2,좁음,보통,곡선
4,427,427,숙대입구,상선,본선 진접 방면 2-3,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 2-4,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 3-1,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 3-2,좁음,보통,곡선
4,427,427,숙대입구,상선,본선 진접 방면 3-3,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 3-4,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 4-1,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 4-2,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 4-3,좁음,보통,곡선
4,427,427,숙대입구,상선,본선 진접 방면 4-4,좁음,보통,곡선
4,427,427,숙대입구,상선,본선 진접 방면 5-1,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 5-2,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 5-3,좁음,낮음,곡선
4,427,427,숙대입구,상선,본선 진접 방면 5-4,좁음,낮음,곡선
