시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
청평여울시장,상설장+5일장,경기도 가평군 청평면 시장중앙로19,경기도 가평군 청평면 청평리 81-2,2일+7일,37.7347657931,127.4158609072,79,음식점,,,Y,Y,2018,031-584-0948,2024-07-22,B553077,소상공인시장진흥공단
가평잣고을시장,상설장+5일장,경기도 가평군 가평읍 장터2길12 204호,경기도 가평군 읍내리 405,5일+10일,37.7797239,127.4527867,119,음식점,,,Y,Y,2015,031-582-8181,2024-07-22,B553077,소상공인시장진흥공단
설악눈메골시장,상설장+5일장,경기도 가평군 설악면 신천중앙로 104-1,경기도 가평군 설악면 신천리 413-14,1일+6일,37.6773832012,127.4921807843,94,농산물+음식점,,,Y,Y,2016,031-585-9983,2024-07-22,B553077,소상공인시장진흥공단
안산패션타운전통시장,상설장,경기도 안산시 상록구 삼리로 45,경기도 안산시 상록구 사동 1530-1,매일,37.3049814130,126.8446651525,115,의류,,https://afmall.modoo.at,Y,Y,2001,031-418-6766,2024-07-22,B553077,소상공인시장진흥공단
안산 다농마트 전통시장,상설장,경기도 안산시 상록구 예술광장로 1,경기도 안산시 상록구 월피동 445-1,매일,37.3283614946,126.8442392731,275,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2019,031-410-6666,2024-07-22,B553077,소상공인시장진흥공단
안성맞춤시장,상설장,경기도 안성시 시장길 37,경기도 안성시 서인동 13의1,매일,37.0066308253,127.2703532527,137,농산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1983,031-677-4779,2024-07-22,B553077,소상공인시장진흥공단
중앙시장,상설장+5일장,경기도 안성시 장기로45번길 30,경기도 안성시 서인동 81,2일+7일,37.0065617358,127.2687957799,67,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2007,,2024-07-22,B553077,소상공인시장진흥공단
일죽시장,상설장,경기도 안성시 일죽면 금일로 467 일원,경기도 안성시 일죽면 송천리 15-18,매일,37.0933689119,127.4784223246,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,,031-674-7763,2024-07-22,B553077,소상공인시장진흥공단
안양관양시장,상설장,경기도 안양시 동안구 관평로 336번길 31,경기도 안양시 동안구 관양동 1407-8,매일,37.4052246512,126.9593100456,142,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,2006,031-386-5577,2024-07-22,B553077,소상공인시장진흥공단
안양호계종합시장,상설장,경기도 안양시 동안구 흥안대로113번길 34,경기도 안양시 동안구 호계1동 997,매일,37.08230314,126.8170596,178,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2008,031-453-4766,2024-07-22,B553077,소상공인시장진흥공단
